id,localidad,direccion,marca,telefono,horario,latitud,longitud,fecha
37787,Navarra,Zuasti,Ctra A-15 pk 98.5,Repsol,948 302 963,L-D 24 Horas,42.86157,-1.744232
37788,Lugo,Pedreda,Ctra N-640 pk 87.4,Repsol,982 303 332,L-D 24 Horas,43.043885,-7.517217
37789,Marbella,"C/ Avenida Arias de Velasco, 2",Repsol,952 772 090,L-D 24 Horas,36.515788,-4.880169,2015-08-06
37790,Tarrasa,Ctra N-150 pk 18,Repsol,937 315 368,Cerrado Noches,41.558695,2.024305,2015-08-06
37791,San Roque,Pol. Ind. Guadarranque parcela 9 A-D,Codes,956 786 561,L-D 24 horas,36.204077,-5.412195,2015-09-03
37792,La Rioja,Hormilla,Pol. Ind. de Hormilla,Valcarce,941 41 77 65,L-D 24 Horas,42.430993,-2.762337
37793,Caceres,Plasencia,Avda. Mart&iacute;n Palomino S/N,Repsol,927 411 558,Cerrado Noches,40.016256,-6.103261
37794,Alca&ntilde;iz,"Ctra. N-232 PK 134,8",Repsol,978 870 050,Cerrado Noches,41.05241,-0.152765,2015-09-16
37795,Guipuzcoa,Tolosa,Ctra N-1 p.k. 432.5,Repsol,943 654 753,L-D 24 Horas,43.116724,-2.092652
37796,Madrid,Madrid,Avda Alfonso XIII esq C/ Costa Rica,Repsol,913 453 800,L-D 24 Horas,40.458937,-3.667839
37797,Madrid,El Molar,Autovia A1 Km 41,Repsol,918 410 168,Cerrado Noches,40.717274,-3.578011
37798,Murcia,Murcia,"Avda. Primero de mayo, S/N",Repsol,968 991 075,L-D 24 Horas,37.987186,-1.115497
37799,Carmona,"Autov&iacute;a A-4, pk 497",Agla,955 953 340,L-D: 24 horas,37.483641,-5.541279,2015-10-19
37800,Sant Boi de Llobregat,"C/ Riera Fenollar, 38",Repsol,936 529 830,L-D 24 Horas,41.326381,2.03905,2015-12-10
37801,Garrigas,Autovia AP-7 pk 35,Repsol,972 650 053,L-D 24 Horas,42.174668,2.930896,2015-12-10
37802,Puerto de Santa Mar&iacute;a,Ctra P-603 pk 1 MD,Repsol,956 851 016,L-D 24 Horas,36.599239,-6.240263,2015-12-10
37803,Madrid,Valdemorillo,"C/ San Juan, 38",Repsol,91 897 70 58,Cerrado Noches,40.499699,-4.059188
37804,Madrid,Madrid,"Avenida de la aviaci&oacute;n, 32",Repsol,91 710 606,L-D 24 Horas,40.373989,-3.771572
37805,Vilanova I La Geltru,"Ronda de Europa, 37",Repsol,938 143 407,Cerrado noches,41.225617,1.739864,2015-12-31
37806,Chiclana de la Frontera,"Avenida de los Reyes Catolicos, 29",Repsol,954 124 565,Cerrado Noches,36.415337,-6.143196,2015-12-31
37807,Alcal&aacute; de Guadaira,Ctra. A-376 KM 8.7,Repsol,954 124 565,Cerrado Noches,37.308798,-5.889411,2015-12-31
37826,Lucena,Ctra. A-45 pk 51 M.I.,Repsol,95 772 46 03,L-D 24 Horas,37.439732,-4.550624,2016-10-21
37825,Baleares,Palma de Mallorca,"Cami Salard, 95",Repsol,971 256 534,Cerrado Noches,39.575861,2.685195
37824,Navarra,Artica,"Ctra, de Artica, 21",Repsol,948 128 854,Cerrado noches,42.835468,-1.652881
37823,Linares,Avda. de EspaF 3,Repsol,953 692 315,Cerrado Noches,38.090226,-3.626149,2016-10-21
37822,Alicante,San Vicente del Raspeig,Ctra. A-214 km 1.5,Repsol,965 660 862,L-V: 24 horas,38.390808,-0.505526
37821,Madrid,Alcal$e Henares,"Avda. Juan Carlos I, S/N",Repsol,91 265 73 93,Cerrado Noches,40.480525,-3.400521
37820,Valencia,Valencia,"C/ Miraculosa, 15
 

 46009 Valencia",Galp,961 36 50 00,06:00 a 24:00,39.484785,-0.373434
37819,Pontevedra,Salcedo,"CTRA. N-550, Km 126.4 (C.P. 36143 SALCEDO, PONTEVEDRA)",Repsol,986 851 493,Cerrado Noches,42.398363,-8.636257
37818,Murcia,CARTAGENA,"CTRA. MAZARRON Km. 2,9 (N-332) (C.P. 30393 CARTAGENA, MURCIA)",RESPSOL,968 511 037,CERRADO NOCHES,37.61975,-1.012889
37817,Aguadulce,"Avda. Carlos III, 82",Cepsa,950340849,L-D 24 Horas,36.809334,-2.593189,2016-07-20
37816,Amposta,"Ctra TV-3405, p.k. 0.5",Repsol,977 704 140,Cerrado Noches,40.709123,0.587847,2016-07-12
37815,Madrid,Madrid,"C/ Niceto Alcalamora, 20",Galp,91 718 81 61,L-D 24 horas,40.494197,-3.648805
37813,Baleares,Santa Eulalia del Rio (Ibiza),"C/ de Sant Jaume, 188",Repsol,971 319 161,Cerrado noches,38.988115,1.538824
37812,Castellon,Pobla Tornesa,"Ctra. CV-10, Salida 33",Repsol,964 338 177,L-D 24 Horas,40.105447,0.007735
37814,Madrid,Madrid,"Glorieta de Yucatan, S/N",Cepsa,628 423 650,L-D 24 Horas,40.451233,-3.626867
37809,Alicante,Santa Pola,"Carretera Elche - Santa Pola, 5",Cepsa,966 69 60 11,24 horas,38.197355,-0.562463
37811,Madrid,Madrid,"Carretera Villaverde a Vallecas KM. 2,4 (m.Izquierdo)",Cepsa,.,L-D 24 Horas,40.369778,-3.645131
37827,Pontevedra,Vilaboa,Autovia A-9 Pontevedra Sur-Vigo pk 13,Repsol,98 667 27 19,Cerrado noches,42.317932,-8.662738
37828,Macanet de la Selva,Autopista Ap-7 pk 86,Repsol,972 858 211,L-D 24 Horas,41.772184,2.739077,2016-10-21
37829,Ciudad Real,Malagon,"C/ Madrid, 16
 

 Pol. Ind. Las ViGâ;Cepsa""",,L-V 24 Horas,39.158126,-3.846239,2016-10-21
37830,Toledo,Toledo,"C/ rio Jarama, 61",Punto Azul,,Cerrado Noches,39.868797,-3.960307
37831,Murcia,Cartagena,"Autov`de la Manga. Ctra RM-12 pk 0,222",Independiente,968136840,L-D 24 horas,37.654759,-0.891349
37832,Sant Sadurni de D anoia,"C/ Sant Quintin, 28",Repsol,938 910 610,L-D 24 Horas,41.428875,1.779045,2018-04-23
37833,Baleares,Palma de Mallorca,C/ Gremi Sucrers I Candelers 5,Repsol,971 758 898,L-d 24 Horas,39.610186,2.661229
37834,Baleares,Palma de Mallorca,"C/ Cami Sos Fangos, 151",Repsol,971 126 903,L-D 24 Horas,39.535453,2.734969
37835,Murcia,Fuente Alamo,Ctra. Las Palas 2,Independiente,968 59 73 06,L-D 06:00 a 24:00,37.719302,-1.170572
37836,Valencia,Sueca,Avda. del Mar 5,BP,96 170 24 46,L-D 24 Horas,39.209197,-0.309525
37837,Murcia,Cartagena,"Avda. Sanchez Meca, S/N",Repsol,968 507 352,L-D 24 horas,37.596243,-0.966136
37838,Madrid,Madrid,"Avda. Princesa Juana de Austria, S/N",Repsol,914 694 247,L-D 24 Horas,40.378647,-3.718615
37839,Puig- Reig,C-1411z km 59.4,Independiente,669 163 205,L-D 24 horas,41.963282,1.880162,2018-04-23
37840,Valls,"Ctra. T-200, 2.5",Repsol,977 606 635,Cerrado Noches,41.29836,1.258549,2018-04-23
37841,Barcelona,"C/ santander, 100",Repsol,932 782 380,L-D 24 Horas,41.43287,2.206691,2018-04-23
